date,event,location_id,participants,public_knowledge,tabloid_source,narrative_weight,alex_pov_summary
2025-05-22,Juilliard Commencement — BM Piano Performance conferred; John Erskine Prize announced,juilliard_school,alex_wilson;dr_catherine_marlowe;rosie_walker;homer_wilson,true,NYPost;Billboard,load_bearing,Graduation; everything changes from this moment; Rosie and Homer in the audience
2025-05-22,The dam breaks — Eleanor fields first wave of post-graduation industry calls,,eleanor_vance;james_latham,false,,load_bearing,Industry has been waiting 4 years; Latham in seat holding the door
2025-06-04,Tribeca Film Festival begins — Alex begins NYC circuit month,,alex_wilson;nadia_hassani;kevin_marsh,true,PageSix;DailyMail,context,Red carpets; first major public post-graduation appearances; tabloid machinery activates fully
2025-06-15,Tribeca Film Festival ends — Alex attends multiple premieres and events,,alex_wilson,true,DailyMail;PageSix;TMZ,context,Two weeks of intensive NYC public appearances; pap baseline established for new era
2025-06-17,Milan Men's Fashion Week opens — Alex arrives Milan for MFW,,alex_wilson;donatella_versace;kevin_marsh;nadia_hassani,true,DailyMail;Vogue;BoF,load_bearing,First Fashion Week appearance post-graduation; Donatella in home territory; Versace deal context
2025-06-17,DG (Deutsche Grammophon) deal negotiations begin — meetings in Milan parallel to MFW,,alex_wilson;eleanor_vance;james_latham,false,,load_bearing,Two-album classical deal; rush timeline required to hit Grammy eligibility cutoff
2025-06-22,Alex's 22nd birthday — celebrated at Glastonbury,,alex_wilson;apple_martin;lila_moss;rosie_walker,true,DailyMail;TheS;PageSix,context,Birthday June 22 (CC-01 correction); Glastonbury context; Summer House chat peaks
2025-06-22,Milan MFW ends — fashion house deal discussions accelerate,,alex_wilson;donatella_versace;stella_mccartney,false,,context,Multiple house conversations happening in parallel with DG album talks
2025-06-25,Glastonbury Festival begins,,alex_wilson;apple_martin;lila_moss;stormzy,true,DailyMail;TheS;NME,context,Crowd absorption; medium pap situation; Summer House chat peak chaos
2025-06-27,DG deal signed — two-album classical recording contract,,alex_wilson;eleanor_vance;james_latham,false,,load_bearing,Signed in London post-Glastonbury; rush release planned to hit Sept 1 Grammy cutoff
2025-06-29,Glastonbury Festival ends,glastonbury,alex_wilson,true,,context,Post-festival; transition to European summer circuit
2025-07-01,Ibiza — one week stretch with La Terrazza and Summer House crowd,ibiza_circuit,alex_wilson;edo_ferretti;tommaso_corsini;alix_earle,true,DeuxMoi;DailyMail,context,Alix Earle rumour originates here; Edo's world; medium pap situation
2025-07-07,Ibiza stretch ends — travel to Sardinia,,alex_wilson;kevin_marsh,true,DailyMail,context,End of Ibiza week
2025-07-08,Villa Serena Sardinia — three weeks begin,villa_serena,alex_wilson;tommaso_corsini;edo_ferretti;camille_aubert;lucia_montero;felix_arnoult;apple_martin,false,,load_bearing,Most private extended stay of the year; private cove; Vogue shoot arranged here; album mixing in parallel in London
2025-07-10,Vittoria Ceretti arrives Villa Serena — hookup begins,villa_serena,alex_wilson;vittoria_ceretti,false,,load_bearing,Confirmed hookup; Daily Mail photographer eventually gets Porto Cervo transit shot
2025-07-15,Vogue photoshoot — Annie Leibovitz shoots Alex at Villa Serena for September cover,,alex_wilson;vittoria_ceretti;annie_leibovitz,false,,load_bearing,Shot in and around Porto Cervo and Villa Serena; September 2025 British/American Vogue cover
2025-07-22,DM publishes first Ceretti-Wilson photos — Porto Cervo transit shot,la_terrazza_porto_cervo,alex_wilson;vittoria_ceretti,true,DailyMail,load_bearing,First confirmed tabloid photo; "Alex Wilson and Vittoria Ceretti spotted in Porto Cervo"; hookup confirmed
2025-07-29,Villa Serena stay ends — travel back through London,villa_serena,alex_wilson,true,DailyMail,context,Three weeks done; heading to August events
2025-08-01,DG Album I recording sessions begin — London (Air Studios),,,alex_wilson;homer_wilson,false,,load_bearing,Homer engineering; uses Juilliard recital programme; rush production to hit August 22 release
2025-08-05,Guards Polo Club — August polo season,,alex_wilson;hugo_manners,true,DailyMail;HelloMag,context,Alex plays polo August; Guards Polo Club; aristocratic summer season; royal/London crossover
2025-08-20,Dove Cameron rumour surfaces,,alex_wilson;dove_cameron,true,DeuxMoi,context,London context; DeuxMoi sourced; rumour only
2025-08-22,Album I released — "Alex Wilson — Album I — Diventando.." on Deutsche Grammophon,,alex_wilson;homer_wilson,true,Billboard;NYT;Guardian;Telegraph,load_bearing,Rush release 8 days before Grammy cutoff; Juilliard recital programme; Bach+Beethoven+Prokofiev+Liszt; global classical/crossover coverage
2025-08-22,DG Album I global press campaign launches,,alex_wilson;james_latham;priya_chandra,true,NYT;Guardian;FT;NYorker;Billboard,load_bearing,Classical press + crossover press; Homer's name adds engineering credibility; Grammy whispers begin immediately
2025-09-01,Grammy eligibility cutoff — Album I qualifies for 68th Grammys,,,,false,,load_bearing,Made it; 8-day margin
2025-09-01,Vogue September issue hits — Alex Wilson cover story,,alex_wilson;annie_leibovitz,true,Vogue;DailyMail;TheS;Instagram,load_bearing,British/American Vogue simultaneous; September issue; Annie Leibovitz shots; breakout cultural moment
2025-09-05,AL.X management division fully operational — Latham in seat with full team,,james_latham;priya_chandra;oliver_wren,false,,context,AL.X managing all inbound; Scooter blacklist enforced; information wall absolute
2025-09-10,Versace deal activated — first campaign content begins,,alex_wilson;donatella_versace,true,Vogue;WWD;BoF,load_bearing,First fashion house campaign live; Donatella's project
2025-09-12,Stella McCartney deal activated,,alex_wilson;stella_mccartney,true,Vogue;WWD,context,Second fashion house campaign; Stella's values-forward aesthetic
