date,event,location_id,participants,public_knowledge,tabloid_source,narrative_weight,alex_pov_summary,status,trigger_for
2026-01-05,Return to NYC from compound after New Year — story staging begins,west_71st_nyc,alex_wilson,false,,context,Back in New York after compound New Year. Grammys four weeks out. The year already has gravity.,locked_real_world,story_open_baseline
2026-01-08,AL.X team January briefing — James Latham presents Q1 opportunities triage; Burberry campaign pre-production timeline discussed,west_71st_nyc,"alex_wilson,james_latham,priya_chandra,oliver_wren",false,,context,Eleanor's operation maps Q1. Grammy prep running alongside Burberry pre-production. Alex listens. Asks two questions. Says he'll think about the spring schedule.,locked_real_world,burberry_preproduction_thread
2026-01-12,Grammy nominee spotlight — DG releases behind-the-scenes clip from Album I recording sessions; 4.2M views in 24hrs,digital,alex_wilson,true,pitchfork_classical,load_bearing,The algorithm runs without him. He watches the clip once and puts his phone down.,locked_real_world,grammy_media_momentum
2026-01-15,STORY OPEN + CHICKEN SHOP DATE DROPS: Alex at West 71st; Chicken Shop Date episode (Amelia Dimoldenberg) drops without warning or promo; Grammy 18 days out; GQ publishes in 2 days,west_71st_nyc,alex_wilson,true,deuxmoi,load_bearing,The Chicken Shop Date drops today. No warning. He knew it was coming. The Grammy is 18 days away. The apartment is quiet. The internet is not.,locked_real_world,story_begins
2026-01-17,GQ profile publishes — 'The Classical Kid Arrives'; cover and 8-page spread; shoots from November 2025,digital,alex_wilson,true,gq_us,load_bearing,"He's read it. He doesn't recognise himself entirely but it isn't wrong. Elton texts immediately: ""Darling — GQ. Finally.""",locked_real_world,gq_reactions_thread
2026-01-20,Grammy rehearsal week begins — nominee media commitments and press day (Recording Academy protocol),new_york_city,alex_wilson,true,rolling_stone,context,Two days of press. He does it. Nadia coordinates every minute.,locked_real_world,grammy_press_day_scene
2026-01-24,Dinner at Zero Bond — NY social circuit; NY Lot crew; Marcus has a table,zero_bond_nyc,"alex_wilson,marcus_delacroix,nora_yoon,henry_cabot,timothee_chalamet",false,,context,Normal evening. Marcus booked it. Henry argued about the wine list. Timothée came late and left early.,proposed,ny_social_scene
2026-01-28,Recording Academy nominees reception — Grammy week eve; industry dinner; DG table,new_york_city,"alex_wilson,dg_label_contact",true,billboard,context,The industry in one room. Alex is polite and moves efficiently. He does not linger.,locked_real_world,industry_pre_grammy_scene
2026-02-02,68th Grammy Awards — Crypto.com Arena Los Angeles; Alex nominated Best Classical Solo Instrumental Album; Homer and Rosie attending as Grammy Legends (annual — Rosie has not released since 1980); staying at Laurel Canyon,crypto_arena_la,"alex_wilson,rosie_walker,homer_wilson,eleanor_vance,kevin_marsh,nadia_hassani",true,grammy_broadcast,load_bearing,"He is nominated. Homer and Rosie are in the room — they go every year, Grammy Legends. This year Alex is also there, as something different. Kevin is on detail. Win or loss: Ryan decides.",player_choice_dependent,grammy_outcome_arc
2026-02-03,Grammy aftermath — Laurel Canyon / LA; Vanity Fair party; industry circuit; Eleanor debrief; Homer and Rosie still in town,los_angeles,"alex_wilson,eleanor_vance",true,vanity_fair,load_bearing,The morning after tells you where the year goes. Homer makes coffee. Rosie does not ask how he feels. Eleanor waits until noon to call.,player_choice_dependent,year_direction_pivot
2026-02-06,Return compound — decompression period; Homer in studio; no public schedule,phoenix_hollow,"alex_wilson,homer_wilson,rosie_walker",false,,context,He needs a week. Homer doesn't say anything. The studio is open.,proposed,compound_decompression_scene
2026-02-14,Valentine's Day — social media ambient attention spikes; tabloid speculation cycle,digital,alex_wilson,true,deuxmoi,trivia,He doesn't post anything. This is itself a story the fan accounts run with for 48 hours.,locked_real_world,tabloid_speculation_ambient
