id,name,city,region_or_state,country,type,ownership,access_tier,first_appearance,sensory_file,skill_reference,notes
phoenix_hollow,Phoenix Hollow Compound,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,prose/places/phoenix_hollow.md,worldguide-keeneland,~500 acres; ~$56M; 50+ room main house + 8 guest cottages; sleeps ~60 overnight; primary home for Rosie/Homer; Alex's home base; private gate is the line; Summer/Winter Solstice venue — see prose/setpieces/solstice_party.md
wilson_sound_studio,Wilson Sound Studio,Versailles,Woodford County KY,USA,studio,wilson_family_owned,compound_only,,,,~2400sqft; Neve console; Homer-designed acoustics; built 1982; 2-3 min walk from main house; never gone quiet
phoenix_hollow_cottage_stone,Stone House Guest Cottage,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,,,Most private cottage; for working artists; isolation focus; one of eight guest cottages
phoenix_hollow_cottage_creek,Creek Cottage,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,,,Stevie Nicks's preferred cottage; near the water; quieter than others; one of eight guest cottages
phoenix_hollow_cottage_ridge,Ridgeline Cottage,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,,,Dolly Parton's favourite; higher ground; views over the paddocks; one of eight guest cottages
phoenix_hollow_cottage_new,The New Place Guest Cottage,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,,,Most modern of the eight guest cottages
phoenix_hollow_cottage_dogwood,Dogwood Cottage,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,,,Closest cottage to main house; smaller/family-scale; Cosima's go-to when she doesn't want the main suite; one of eight guest cottages
phoenix_hollow_cottage_pond,Pond House,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,,,Overlooks the pond; songwriter-favourite; very quiet; porch over the water; one of eight guest cottages
phoenix_hollow_cottage_paddock,The Paddock Cottage,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,,,Near the equestrian center; used for horse-crowd guests during Keeneland weeks — owners, trainers, bloodstock agents; one of eight guest cottages
phoenix_hollow_cottage_oakhill,Oak Hill Cottage,Versailles,Woodford County KY,USA,compound,wilson_family_owned,compound_only,,,,Oldest structure on the property; 1880s tenant farmer's house, preserved and quietly renovated; where Willie lands when he's through; one of eight guest cottages
west_71st_nyc,West 71st Street Townhouse,New York City,New York,USA,townhouse,wilson_family_owned,inner_circle,,prose/places/west_71st_nyc.md,,6-story brownstone; ~14000sqft; 8 bed; ~$22M; UWS; 5 blocks from Lincoln Center; AW Assets
kensington_london,Kensington Townhouse,London,Greater London,UK,townhouse,wilson_family_owned,inner_circle,,prose/places/kensington.md,,Upper Phillimore Gardens W8; double-fronted Victorian; 6 floors; ~£37M; Homer's house; AW Assets
villa_serena,Villa Serena,Porto Cervo,Sardinia,Italy,villa,wilson_family_owned,inner_circle,,prose/places/villa_serena.md,worldguide-sardinia,Costa Smeralda; 4 hectares; private cove; ~$70M; 5 guest pavilions; AW Assets; no pap access to cove
