id,person_id,credit_type,work_title,artist_name,release_year,label,chart_peak_us,grammy_awards,programme_notes,confidentiality,notes
disc_001,rosie_walker,artist,A Still Small Voice,Rosie Walker,1965,Atlantic Records,12,0,Folk Revival / Chamber Folk / Classical-Inflected Singer-Songwriter,public,Debut album. Greenwich Village. Two weeks recorded. Folk chart #1. Multi-Diamond (3x).
disc_002,rosie_walker,artist,Baptized in Bourbon,Rosie Walker,1968,Atlantic Records,1,0,Muscle Shoals Soul / R&B / Gospel-Rock,public,Transformation record. Wexler + The Swampers. 14 weeks #1. Multi-Diamond (6x). Two consecutive #1 singles (Sunday Clothes / Baptized).
disc_003,rosie_walker,artist,Good Girls Go to Heaven,Rosie Walker,1970,Atlantic Records,1,1,Symphonic Rock / Wall of Sound,public,AOY Grammy #1 (1971). Abbey Road. Quincy Jones producer. Homer Wilson engineer — they met during this session. 22 weeks #1. Multi-Diamond (12x). 2.1B streams on lead single.
disc_004,rosie_walker,artist,Neon Cathedral,Rosie Walker,1971,Atlantic Records,1,1,Art Rock / Psychedelic / Concept Album,public,AOY Grammy #2 (1972). Concept album — religion + technology. Influenced Bowie and punk. 18 weeks #1. Multi-Diamond (11x).
disc_005,rosie_walker,artist,Starlight & Steel,Rosie Walker,1972,Atlantic Records,1,1,Glam Rock / Hard Rock,public,AOY Grammy #3 (1973). Tony Visconti producer. Château d'Hérouville. #1 in 14 countries. 21 weeks #1. Multi-Diamond (13x). Queen opened the 1973 tour leg. 1.8B streams.
disc_006,rosie_walker,artist,Concrete & Chrome,Rosie Walker,1974,Walker Records,3,1,Industrial / Krautrock / Berlin,public,AOY Grammy #4 (1975). Brian Eno producer. Hansa Studios Berlin. Commercially underperformed — critics confused. Bowie and Joy Division took notes. Multi-Diamond (4x) retrospectively.
disc_007,rosie_walker,artist,Radio Silence,Rosie Walker,1977,Walker Records,1,1,New Wave / Art Pop,public,AOY Grammy #5 (1978). Homer co-producer. Laurel Canyon. 28 weeks #1 (longest career run). Multi-Diamond (15x). Phoenix (Rise Up) — 3.8B streams / most-licensed song ever recorded.
disc_008,rosie_walker,artist,The Last Cathedral,Rosie Walker,1979,Walker Records,1,1,Cinematic / Orchestral,public,"AOY Grammy #6 (1980) — accepted in person: 'Thank you. I'm done.' She meant it. 15 years before the next record. 31 weeks #1 (career peak). Multi-Diamond (10x). Homer engineering. Then The Withdrawal."
disc_009,homer_wilson,engineer,Good Girls Go to Heaven,Rosie Walker,1970,Atlantic Records,1,0,Engineering credit — Abbey Road sessions,public,Met Rosie during this session. Told her the mic placement was wrong. She said 'Show me.' They married in 1971.
disc_010,homer_wilson,engineer,Neon Cathedral,Rosie Walker,1971,Atlantic Records,1,0,Engineering credit,public,Second consecutive AOY. Homer and Rosie married this year.
